ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
6.262798867453871,206.88974832096005,31414.525805340723,4.528076190732979,349.73466158479204,567.0272739136024,15.96353977833718,73.02260527159223,4.0125175583490025,0
7.803833220697706,223.68811085598787,37376.79298893104,6.664969394719985,,343.76401307822925,16.69740839569556,74.78243416450114,2.9073872665012983,0
8.692115322047213,144.2363578280657,2552.962803650125,9.202633941435824,347.9751368047353,517.4274708823453,13.96342114247642,42.388661324476296,2.283475159435164,0
7.344975869046369,182.30694217406872,5689.804404872833,6.764349993180452,373.87278500525446,360.1844730557162,20.48390229703,73.48898065084018,3.418763194643632,0
6.527440589533234,181.0729953680779,22444.0817773994,10.474976873226549,271.8627922546852,351.06378758695115,11.996365138774024,,3.567180516708776,0
5.903993500851966,196.2747258221461,19399.221972076662,7.64189452353631,328.26927214784286,324.0456807548281,18.505372282337877,77.15780159396216,3.820021215890335,0
6.760790523068997,192.1426205034141,19089.94855741646,4.364521410095469,345.0188971500478,457.5548271822209,13.272525976818486,,4.905490433324554,0
6.300755509276121,179.45279245637445,25668.198954461957,8.931530795516178,341.4930241478503,458.83540577966994,14.062955946663408,,5.708111882566888,0
6.203977702278348,212.30661828668616,21815.07414790552,7.873991884545469,,362.10800431396245,14.9330126610987,63.87381994728531,5.215689206119035,0
,143.09910295231725,19290.56806763281,6.084324829707493,370.86954997899807,486.0593044064352,13.92473170382101,63.80230173372311,4.117287901677459,0
8.520806572970303,238.3351124555097,28779.6500110336,8.282808464509609,381.6493228718946,481.3188026886131,6.016336609271207,39.09117136225335,3.9406045297946832,0
4.633202516472866,208.9080360528162,29307.12894458043,6.125585211067605,304.0317762783531,456.2148284792014,10.817158134503416,111.11530965742848,4.751858815287916,0
7.811512445222393,258.8916011614203,20911.904666062124,6.361756274566996,289.1421748787793,421.1330347716793,9.631649747296876,71.70322700573531,4.546070210293161,0
5.923739954690041,200.561212598199,33306.01253765967,7.430037412770904,,399.9483324962554,13.7978696801174,63.46340880072283,3.8844603708206806,0
7.86464967253437,218.15310691388663,23045.72624697215,7.432010934769431,349.9228521065612,414.3651493572396,14.785982514678096,72.60797966719042,3.585933521695313,0
8.237142633897012,190.059694941258,20015.39810593454,8.385216673487097,356.0917613374257,377.6820971650517,17.740943635820486,37.71387806029169,4.93910944137509,0
6.225152012969118,169.74117152260175,29533.608826117597,5.574917123210296,,380.1147511485802,17.59550986619479,75.5190590415527,2.770822652580127,0
11.180694664461903,228.3008603612537,16600.392746647067,6.094000530523799,,504.0505391333054,15.035046907486446,110.73929934431216,3.8098416540991424,0
,170.29142616212306,14550.41700543524,7.847403918285845,395.4959538839071,486.3676932685301,13.797577736420635,51.41590959077508,3.794033112326824,0
7.575757883896304,203.88437279422124,20855.272321145047,8.109311853778678,334.0274201302968,532.3111875218963,14.236013174569962,74.63870560573021,3.176432526006715,0
8.654792650142806,218.1726596472281,14799.31146415062,6.164048563812341,366.1479915107312,416.8703326101443,8.954519548868973,72.62027967629705,5.148137887599708,0
7.721032687967833,203.3547883821459,35800.699273176404,7.683399375833114,312.91904442520746,424.9669947448051,18.092608300288305,96.44212931944313,4.168487101902514,0
8.151215310423664,219.56004997568735,13699.680707842788,3.8044282993197447,,460.52873600352905,14.951295013634422,79.63426080894891,3.523980505672175,0
7.207538608272426,174.80516800528736,15796.3996983279,6.954041336732498,,555.5962106786567,14.171164146051638,60.53126977894993,4.295189193307992,0
8.238878989445276,198.2134051416807,11451.312217210629,5.308989560204696,309.3294234572413,401.0637636598361,13.243329279142417,81.19771042934019,2.784712796717906,0
9.177869865892433,163.2748282557015,20868.331218998803,7.726040434165082,320.4214321786778,426.9943931689402,10.214274603240654,62.430926156839874,3.1087699879134547,0
6.124672270969831,179.57975245979594,27951.613070026902,8.075626885846768,303.6469276155788,467.1718220182185,13.835116679864484,69.01748768088481,3.631006709381833,0
6.12319393539216,181.31241822476616,15135.127235774591,5.824041884169583,293.840702718993,391.6103219267881,11.59179478654488,61.94668307741881,5.457830951249985,0
,199.91801362570047,15335.511432930904,8.092377054691525,303.3271816401638,399.6054464673591,11.821736280989512,58.22229339817834,4.482459763675931,0
,148.15306144508662,15193.41347396722,9.04683270725723,307.01179262256534,563.8047433250861,16.56865556799744,52.67618503420983,6.0381849531835865,0
5.606856130577717,211.51309718534105,32423.4626851086,6.812943275393427,,446.38640359860887,20.926950178989895,52.218978737459175,4.070966098496005,0
7.399811393921775,229.7762645225177,28630.954415716587,8.711705729168445,302.31575926455537,437.3669087698364,11.927552443287029,78.57644087112864,3.803723817903262,0
7.377036503769029,175.00827573199038,15340.951839023182,6.144844982231076,371.01052383443306,579.4618244285435,11.915739635208697,78.1791708384043,4.531658688151207,0
6.968131312926198,205.9825818996017,19207.31177118536,7.285997694388845,283.47855541476963,459.1766823348223,17.916963728538065,50.87882035816457,3.030823583308678,0
6.001382440647675,186.88442213446453,22554.830087428574,8.391882653872475,331.21486749826903,444.8910438582652,4.466771969153569,65.95476555947411,4.03671976209437,0
7.301563449379409,177.66289465631235,23441.267143294197,9.10701724282177,326.2906302400307,478.4670470173596,14.003395764618348,55.18334729018349,2.7749609493035416,0
6.901710202557188,173.15391505725697,10323.957841371875,7.436807555796994,376.8117079769051,538.6207869603159,10.401972967008817,36.75189767253448,3.0356705967120168,0
,193.6294862689193,18753.211763658328,8.685011669004567,327.3406381003838,478.102692765685,13.172901550882044,52.67395753254922,2.3734376939287394,0
6.217255306949025,205.64825148296077,32911.92971677305,5.94607364340275,298.39049042684866,414.7710169231197,12.12836582827748,79.24503323687058,2.081425020190486,0
6.317576553625639,143.29995945134735,22577.81893506734,5.690078271351631,338.897199887854,573.8147436477269,15.315514664575176,48.97388656968985,3.399047913765313,0
8.550875469289338,231.2487868055436,28918.419953077177,7.822528490547928,369.264222748674,432.2852700271936,16.266296687636896,73.14946432483588,3.772886607458768,0
6.44923665656657,218.9072878271955,12812.557124143954,10.908686691712113,,421.2968495126904,8.010420328995338,79.08553238242209,4.0651480018614885,0
8.990317233704655,195.80902842150493,23728.29401456205,7.508305289508399,348.71461261339243,551.5403897934349,15.254391841066877,75.9078693330705,4.494544339362194,0
4.103867855230838,168.28365132507074,22207.470232223448,5.850079945096555,,344.8695064057265,15.466455102163366,34.719623004715714,3.8088506940726377,0
6.246117565172954,199.0989732929794,27001.335319183105,7.808013457146303,296.9236255206414,478.7459453005034,17.128023270048516,84.79895625388642,4.755158013341267,0
,185.8467966778486,14971.949025291871,6.66634287546027,346.48618873704487,418.45359071383103,18.68421531211061,67.71245963073115,5.110414148991792,0
,153.03510777751137,28504.997507756485,8.425497503748904,,346.311158574068,15.13865348444483,48.384960463149554,3.830883636685994,0
6.906574998425876,199.638123872256,15201.339953843984,5.1365988301122085,,306.02397473517414,15.2127981305606,90.57901960720822,3.2827495033578318,0
7.16046723080874,183.0893100379288,6743.346065530401,3.8030364235979857,277.5990986210596,428.0363443504035,9.79962468961304,90.03537367362071,3.8848910441472793,0
5.669689566349437,194.1300689927905,20081.537954466112,6.77810364227845,,403.9899201737513,18.28480665026774,,3.5921334240895173,0
8.860324241725671,233.62514504456945,19550.299680482232,6.5190628944638975,,285.4124362483411,13.093262346397353,25.061904305979898,2.4766744197524457,0
6.574083863949985,186.94421135042364,22723.80995899501,6.212264734972436,330.7896948074798,385.0189505628823,12.062533812111385,72.59527718777949,4.977323507740182,0
5.754212967735088,241.60242960289395,31871.291238837573,7.299301919913234,203.4445207741574,495.9453441622583,22.763707419363584,71.4289784247935,5.920233914738748,0
5.869736755337525,207.7254551598048,22244.218235890683,6.5977643395030885,352.5639869759799,465.61648082479246,14.838100233982516,77.8227370729317,4.689315047790611,0
